*******************************************************************************************************************
*    Row   * Instance *       run *    subrun *     event *   toftime *     wcmom *   ckovadc *           evtTime *
*   178551 *       19 *    101049 *         4 *     13265 * 32.607338 * 1034.2194 *      3423 * 1611655366.427526 *
*   194121 *       11 *    101050 *         0 *      8407 * 32.037666 * 930.58001 *      3489 * 1611706829.058873 *
*   197648 *       12 *    101050 *        13 *      8129 * 32.601017 * 1036.0533 *      3444 * 1611717748.739804 *
*   202588 *        9 *    101050 *        30 *       120 * 32.512115 * 1007.9588 *      3498 * 1611732649.113134 *
*   207818 *        3 *    101051 *         0 *       774 * 31.908943 * 1081.2562 *      3510 * 1611750928.957549 *
*   207818 *       10 *    101051 *         0 *       774 * 31.908943 * 1081.2562 *      3510 * 1611750928.957549 *
*   208722 *       16 *    101051 *        10 *     14170 * 32.382652 * 1120.2679 *      3004 * 1611757868.470951 *
*   214687 *       14 *    101052 *        22 *      1939 * 32.580608 * 1011.7984 *      3454 * 1611803107.421240 *
*   216386 *        3 *    101052 *        47 *      6319 * 32.613113 * 1058.5046 *      3551 * 1611825896.545184 *
*   217120 *        6 *    101053 *         3 *      6594 * 32.543319 * 978.44635 *      3483 * 1611839187.082770 *
*   217346 *        7 *    101053 *         8 *     16404 * 32.526195 * 981.58453 *      3380 * 1611843216.467372 *
*   219102 *        5 *    101054 *        52 *     11554 * 32.350128 * 846.87793 *      3531 * 1611897399.410354 *
*   219723 *        0 *    101055 *        10 *      3471 * 32.765674 * 1086.5217 *      3447 * 1611911152.971662 *
*   220363 *        0 *    101055 *        23 *     10112 * 32.397068 * 1081.3975 *      3500 * 1611922543.146673 *
*   220705 *        0 *    101055 *        30 *      5881 * 32.652309 * 1048.6804 *      3439 * 1611928605.878792 *
*   220721 *       21 *    101055 *        30 *     15803 * 32.445632 * 947.99054 *      3404 * 1611929089.633192 *
*   230339 *       14 *    101056 *        30 *     14944 * 32.446689 * 1113.7171 *      3492 * 1611986738.079825 *
*   237076 *       19 *    101058 *         0 *     17708 * 33.157135 * 882.68463 *      3460 * 1612036767.151504 *
*   290040 *        3 *    101061 *        10 *      4463 * 30.528286 * 1196.1419 *      3501 * 1612174346.059572 *
*   292945 *        0 *    101061 *        21 *     15451 * 32.449951 * 1003.9188 *      3550 * 1612184866.401937 *
*   294147 *       17 *    101061 *        26 *     10467 * 32.909584 * 1168.2319 *      3507 * 1612189079.706227 *
*   301005 *       28 *    101063 *         6 *      3565 * 32.480236 * 988.01910 *      3422 * 1612215237.148273 *
*   301264 *       22 *    101063 *         7 *     12937 * 31.827739 * 786.92846 *      3292 * 1612216619.013983 *
*   304143 *       14 *    101063 *        38 *     11370 * 32.384376 * 1097.8000 *      3453 * 1612231773.790282 *
*   307729 *        8 *    101065 *         5 *      4675 * 32.760768 * 981.05932 *      3466 * 1612251316.147810 *
*   311330 *        2 *    101065 *        28 *       975 * 32.497898 * 987.01940 *      3479 * 1612271816.114867 *
*   312655 *        6 *    101065 *        40 *      6749 * 32.798370 * 928.10430 *      3542 * 1612282944.185863 *
*   313969 *        2 *    101067 *         3 *      1008 * 32.566688 * 1229.3463 *      3525 * 1612291601.251161 *
*   314929 *       10 *    101067 *         8 *     15557 * 32.691013 * 838.92089 *      3281 * 1612296112.128017 *
*   314981 *        6 *    101067 *         9 *      2245 * 32.582466 * 1033.5974 *      3503 * 1612296350.855954 *
*   323841 *        0 *    101068 *         1 *      1176 * 32.538700 * 971.58905 *      3509 * 1612324796.903559 *
*   324418 *        2 *    101068 *         4 *      9079 * 32.483959 * 927.05188 *      3507 * 1612326601.514311 *
*   324672 *        4 *    101068 *         6 *      5114 * 32.378185 * 958.34448 *      3490 * 1612327502.947839 *
*   324729 *        7 *    101068 *         6 *     10575 * 32.399047 * 1150.3403 *      3363 * 1612327744.359576 *
*   324828 *        3 *    101068 *         7 *      5296 * 32.364299 * 1098.2370 *      3508 * 1612328046.574714 *
*   325732 *       14 *    101068 *        17 *      7576 * 32.230106 * 643.94384 *      3515 * 1612334058.173617 *
*   325805 *        5 *    101068 *        18 *      1060 * 32.758304 * 1002.0532 *      3296 * 1612334478.596327 *
*   326015 *       10 *    101068 *        19 *     12640 * 32.592468 * 1132.2585 *      3507 * 1612335800.646883 *
*   326693 *       18 *    101068 *        22 *     17617 * 32.555378 * 1036.1005 *      3437 * 1612338627.976194 *
*   328090 *        6 *    101068 *        29 *      9517 * 32.468582 * 1021.3728 *      3548 * 1612344523.504022 *
*   328781 *       15 *    101068 *        33 *      3449 * 31.094947 * 1023.0695 *      3489 * 1612347770.408269 *
*   512908 *        8 *    101077 *        33 *      1327 * 32.297649 * 1142.4862 *      3463 * 1612690120.218403 *
*   512959 *       27 *    101077 *        37 *      9456 * 32.551044 * 934.69842 *      3512 * 1612692523.387003 *
*   513451 *        6 *    101078 *        19 *     13946 * 32.461376 * 1006.5873 *      3418 * 1612724417.308520 *
*   514563 *        2 *    101079 *        19 *      6842 * 32.873321 * 1104.1135 *      3488 * 1612780757.999498 *
*   515554 *       12 *    101079 *        60 *     13926 * 32.481277 * 1061.7533 *      3470 * 1612817982.686325 *
*   516229 *       24 *    101081 *        45 *     13472 * 32.431079 * 776.57513 *      3461 * 1612912873.432594 *
*   519098 *       18 *    101095 *         8 *      8795 * 31.344234 * 1037.2806 *      3438 * 1613463882.039659 *
*   519169 *        8 *    101096 *        23 *     10992 * 32.266735 * 947.61218 *      3551 * 1613483392.551302 *
*   519224 *       17 *    101096 *        38 *     13739 * 32.304119 * 953.13110 *      3428 * 1613496298.057674 *
*   519761 *       12 *    101102 *        14 *     13134 * 32.420085 * 1164.2644 *      3471 * 1613554172.487118 *
*   519799 *        0 *    101102 *        27 *      4129 * 32.436714 * 1076.8452 *      3460 * 1613560534.311308 *
*   519905 *        6 *    101102 *        60 *      9983 * 32.847316 * 975.38928 *      3401 * 1613577377.157729 *
*   519905 *       22 *    101102 *        60 *      9983 * 32.847316 * 975.38928 *      3401 * 1613577377.157729 *
*   528786 *        7 *    101112 *        35 *     15524 * 32.658813 * 1045.7429 *      3479 * 1613730218.533863 *
*   543021 *        1 *    101113 *        50 *     15250 * 32.482494 * 1076.3497 *      3489 * 1613801470.380753 *
*   573770 *       15 *    101117 *         7 *      6342 * 32.594818 * 1070.6450 *      3454 * 1613983361.277048 *
*   578654 *        0 *    101126 *         5 *     13026 * 32.516849 * 1083.0161 *      3561 * 1614217975.726443 *
*   578773 *       18 *    101127 *        12 *     13729 * 32.311245 * 1123.9276 *      3476 * 1614234901.871102 *
*   578917 *        0 *    101127 *        39 *      1506 * 32.283687 * 1008.8825 *      3411 * 1614258654.112251 *
*   579065 *        3 *    101135 *        26 *     10583 * 32.523632 * 916.41882 *      3490 * 1614598746.879378 *
*   579116 *        9 *    101135 *        36 *     10743 * 32.342407 * 1041.0384 *      3540 * 1614607766.501390 *
*   579159 *        2 *    101135 *        43 *      5826 * 32.507064 * 1084.7186 *      3462 * 1614613840.710688 *
*   579662 *        0 *    101139 *        24 *      3810 * 32.533424 * 973.39416 *      3551 * 1614766869.974905 *
*   579716 *        6 *    101139 *        34 *     12471 * 32.546989 * 956.90295 *      3540 * 1614775620.958289 *
*   579808 *        1 *    101139 *        50 *      9907 * 33.009269 * 1207.8349 *      3396 * 1614789691.600410 *
*   579812 *        3 *    101139 *        51 *      2330 * 32.536422 * 973.44409 *      3377 * 1614790232.606221 *
*   580040 *        2 *    101140 *        15 *     14807 * 32.612884 * 1017.7360 *      3531 * 1614815726.134255 *
*   580161 *       10 *    101140 *        25 *      4730 * 32.563476 * 1056.5408 *      3504 * 1614824265.995444 *
*   580543 *        0 *    101141 *        35 *       967 * 32.540763 * 989.24054 *      3480 * 1614863289.471817 *
*   580664 *       17 *    101141 *        47 *       967 * 32.874717 * 1037.0831 *      3419 * 1614874111.876225 *
*   580753 *        4 *    101141 *        54 *     11825 * 32.489406 * 932.54052 *      3538 * 1614880966.406929 *
*   580789 *        0 *    101141 *        57 *     15640 * 32.945571 * 987.73889 *      3483 * 1614883853.234766 *
*   580796 *        2 *    101141 *        58 *     14292 * 32.671810 * 917.77435 *      3447 * 1614884696.319746 *
*   580803 *        5 *    101141 *        59 *      3394 * 32.179233 * 1070.5037 *      3399 * 1614885055.928600 *
*   580920 *        0 *    101142 *         9 *     18257 * 32.667327 * 1048.5306 *      3520 * 1614898405.406413 *
*   581052 *        3 *    101142 *        24 *     17704 * 32.484081 * 1004.9191 *      3498 * 1614911937.782130 *
*   581285 *        4 *    101143 *         9 *      7591 * 32.432346 * 1051.5349 *      3575 * 1614932620.981660 *
*   581326 *        0 *    101143 *        12 *     14781 * 32.564613 * 1031.3085 *      3562 * 1614935688.296154 *
*   581359 *        0 *    101143 *        15 *     16988 * 32.574836 * 925.82629 *      3489 * 1614938513.483509 *
*   581409 *        1 *    101143 *        20 *      6087 * 32.361621 * 1084.2002 *      3466 * 1614942483.926492 *
*   581590 *        1 *    101144 *         5 *      7951 * 32.204879 * 974.84179 *      3483 * 1614962082.975092 *
*   581934 *        3 *    101146 *        12 *      8533 * 32.683010 * 916.37939 *      3444 * 1614996079.031773 *
*   582189 *        5 *    101146 *        40 *     17101 * 32.604747 * 662.88403 *      3462 * 1615021761.195937 *
*   582460 *        1 *    101148 *        15 *      7182 * 32.441741 * 988.64532 *      3488 * 1615063659.758738 *
*   582526 *        0 *    101148 *        22 *     14523 * 32.256843 * 1001.0137 *      3498 * 1615070333.845314 *
*   582828 *       23 *    101149 *        26 *      8413 * 32.641414 * 782.76055 *      3457 * 1615097996.446510 *
*   582830 *        0 *    101149 *        26 *     10879 * 32.421497 * 1054.0172 *      3518 * 1615098117.270461 *
*   582841 *        9 *    101149 *        27 *     18265 * 32.513164 * 889.86053 *      3540 * 1615099381.274329 *
*   582863 *        2 *    101149 *        29 *     14684 * 32.162368 * 1096.3774 *      3514 * 1615101004.372242 *
*   582975 *       12 *    101149 *        41 *      8320 * 31.612087 * 997.76452 *      3496 * 1615111525.813465 *
*   583013 *        0 *    101149 *        45 *     12010 * 32.347759 * 1108.6761 *      3388 * 1615115313.983052 *
*   583035 *        0 *    101149 *        48 *      9693 * 32.316761 * 1092.7196 *      3498 * 1615117902.792551 *
*   583229 *        0 *    101150 *         5 *      7181 * 32.601451 * 975.81671 *      3454 * 1615136721.172637 *
*   583246 *        0 *    101150 *         6 *     12046 * 32.673843 * 1021.0784 *      3545 * 1615137862.582400 *
*   583416 *        0 *    101150 *        28 *     10884 * 32.480861 * 966.89349 *      3459 * 1615157646.397259 *
*   583418 *        8 *    101150 *        29 *      3360 * 32.490615 * 1033.2347 *      3494 * 1615158185.330995 *
*   583454 *        2 *    101150 *        33 *     10642 * 32.586071 * 987.38671 *      3477 * 1615162154.155085 *
*   583463 *        0 *    101150 *        34 *     11996 * 32.472427 * 1000.8391 *      3507 * 1615163116.817068 *
*   583558 *        1 *    101150 *        46 *      2205 * 32.682357 * 1165.9907 *      3521 * 1615173459.159969 *
*   584043 *        2 *    101151 *        50 *      4671 * 32.645256 * 1019.3795 *      3499 * 1615234910.920794 *
*   586195 *       11 *    101159 *         1 *     12810 * 32.499267 * 1212.2952 *      3472 * 1615247603.350837 *
*   586601 *        0 *    101160 *        43 *     14857 * 32.107700 * 1051.1401 *      3512 * 1615287419.063329 *
*   586816 *        0 *    101161 *         3 *       102 * 32.341083 * 884.28497 *      3397 * 1615308342.580395 *
*   587291 *        0 *    101162 *        36 *      1167 * 32.974803 * 1209.4747 *      3496 * 1615348575.870886 *
*   587296 *        2 *    101162 *        36 *     15829 * 32.411094 * 1032.0638 *      3475 * 1615349296.335233 *
*   587368 *        4 *    101162 *        48 *     14620 * 32.507377 * 1098.7690 *      3531 * 1615360059.794621 *
*   587490 *        4 *    101162 *        63 *      4450 * 32.611499 * 1119.5114 *      3498 * 1615373090.887596 *
*   587517 *        1 *    101163 *         2 *      6868 * 32.499782 * 826.06762 *      3512 * 1615375914.675341 *
*   587638 *        0 *    101163 *        13 *      5590 * 32.375202 * 1092.1217 *      3475 * 1615385765.617054 *
*   587679 *        0 *    101163 *        17 *       501 * 32.435691 * 1056.1455 *      3464 * 1615389124.978200 *
*   587848 *        0 *    101163 *        34 *     17008 * 32.400955 * 997.13128 *      3533 * 1615405267.757087 *
*   588421 *        1 *    101169 *         0 *      4648 * 32.393440 * 1025.6986 *      3533 * 1615419082.858314 *
*   588764 *       11 *    101172 *        29 *      5284 * 32.359355 * 1116.5681 *      3487 * 1615618208.090868 *
*   588821 *        0 *    101172 *        35 *      9461 * 32.784034 * 951.51263 *      3509 * 1615623843.192878 *
*   588878 *       12 *    101172 *        41 *       670 * 32.657836 * 970.56237 *      3542 * 1615628812.462642 *
*   588891 *       26 *    101172 *        42 *      6850 * 31.315355 * 1082.1507 *      3524 * 1615630023.980651 *
*   588912 *        0 *    101172 *        45 *      3918 * 32.291370 * 932.24438 *      3438 * 1615632572.307822 *
*   589075 *       10 *    101172 *        63 *     12212 * 32.810039 * 982.79303 *      3517 * 1615649232.927867 *
*   589182 *        1 *    101175 *         0 *      7848 * 32.476306 * 1070.1859 *      3361 * 1615652870.334391 *
*   589696 *        6 *    101175 *        16 *      8331 * 32.383743 * 1026.6550 *      3499 * 1615662869.604780 *
*   589716 *        9 *    101175 *        17 *      5117 * 32.415077 * 1031.4046 *      3450 * 1615663230.962179 *
*   589782 *       16 *    101175 *        19 *     11166 * 32.258609 * 1120.2074 *      3541 * 1615664677.991435 *
*   590035 *       23 *    101179 *         4 *      2478 * 32.654426 * 980.40960 *      3501 * 1615692969.400560 *
*   590149 *        3 *    101179 *         9 *      1257 * 32.399696 * 1168.1814 *      3473 * 1615695253.627050 *
*   590534 *        1 *    101179 *        21 *      8463 * 32.431770 * 1069.1434 *      3549 * 1615701987.999853 *
*   590573 *        1 *    101179 *        22 *     11011 * 33.138305 * 741.62597 *      3494 * 1615702650.228021 *
*   590770 *        5 *    101179 *        28 *      2526 * 32.318203 * 1117.2926 *      3539 * 1615705657.379242 *
*   590786 *       12 *    101179 *        28 *     10460 * 31.820856 * 856.76660 *      3480 * 1615706019.257980 *
*   591162 *        2 *    101180 *         5 *      5349 * 32.609882 * 928.15081 *      3515 * 1615713832.906690 *
*   591260 *        0 *    101180 *        11 *      1175 * 32.937484 * 1139.3367 *      3519 * 1615716598.429030 *
*   591992 *        0 *    101180 *        45 *      3902 * 32.394062 * 1102.1585 *      3414 * 1615736019.330965 *
*   592074 *        3 *    101180 *        49 *      9352 * 32.470649 * 1098.0340 *      3455 * 1615738362.903896 *
*   592274 *        1 *    101181 *        12 *     11201 * 32.439502 * 952.71905 *      3447 * 1615748227.944107 *
*   592386 *       28 *    101181 *        25 *      8426 * 31.862442 * 1029.7511 *      3502 * 1615754724.173028 *
*   592619 *        2 *    101181 *        47 *      2460 * 32.541461 * 1040.2441 *      3426 * 1615766696.040619 *
*   592636 *        0 *    101181 *        48 *      6910 * 32.562477 * 1051.9044 *      3507 * 1615767417.121152 *
*   592850 *        2 *    101183 *         1 *      9399 * 32.665454 * 1064.4971 *      3478 * 1615777943.425706 *
*   592877 *       11 *    101183 *         2 *     12233 * 32.226642 * 1063.9404 *      3480 * 1615778665.453983 *
*   593432 *        3 *    101183 *        30 *      6510 * 32.406902 * 1113.0034 *      3521 * 1615795567.938619 *
*   593460 *        7 *    101183 *        31 *      5130 * 32.890335 * 972.68322 *      3542 * 1615796108.677505 *
*   593472 *        2 *    101183 *        31 *     10427 * 32.743331 * 967.63836 *      3363 * 1615796348.238770 *
*   594276 *        1 *    101186 *        41 *      6491 * 32.314983 * 1185.9874 *      3561 * 1615905380.358093 *
*   594931 *        2 *    101188 *        32 *     11774 * 32.391029 * 1102.8287 *      3427 * 1615936106.392348 *
*   595192 *        7 *    101191 *         1 *      1109 * 32.630798 * 936.57818 *      3512 * 1615952399.693403 *
*   595240 *        7 *    101191 *         4 *      1424 * 32.334697 * 1145.0980 *      3511 * 1615953965.280216 *
*   595607 *       13 *    101192 *         2 *      8364 * 30.707412 * 1054.6297 *      3386 * 1615962260.753591 *
*   595762 *        1 *    101192 *         8 *      9998 * 32.379913 * 1022.9185 *      3492 * 1615964907.255806 *
*   595794 *        4 *    101192 *        10 *      8471 * 32.484726 * 766.78381 *      3509 * 1615965688.216857 *
*   595845 *        3 *    101192 *        13 *       923 * 32.788787 * 1115.9487 *      2862 * 1615966651.099516 *
*   595906 *       16 *    101192 *        15 *      7000 * 32.654827 * 1141.1142 *      2700 * 1615967792.262471 *
*   596008 *       11 *    101192 *        20 *      1327 * 32.094688 * 988.63043 *      3552 * 1615969839.324394 *
*   596018 *        3 *    101192 *        20 *      8632 * 32.355083 * 1135.0468 *      3474 * 1615970136.775704 *
*   596772 *       16 *    101193 *         8 *      4318 * 32.321151 * 1031.7146 *      3457 * 1615995134.666817 *
*   596865 *        1 *    101193 *        10 *      4155 * 33.280151 * 990.24316 *      3483 * 1615996036.184782 *
*   599000 *        2 *    101194 *         0 *      2314 * 32.461093 * 1001.8066 *      3465 * 1616024448.614985 *
*   599175 *       16 *    101196 *         1 *      9531 * 32.612239 * 1097.3454 *      3543 * 1616034309.248059 *
*   599204 *        5 *    101196 *         3 *      9616 * 32.226463 * 984.35327 *      3490 * 1616035270.159680 *
*   599340 *        3 *    101196 *        14 *      8573 * 32.707653 * 1026.7777 *      3175 * 1616040200.808860 *
*   599359 *        0 *    101196 *        16 *      2557 * 32.373844 * 925.60858 *      3451 * 1616040985.805621 *
*   599445 *        1 *    101196 *        22 *      2470 * 32.303638 * 1110.6596 *      3574 * 1616044591.447093 *
*   599508 *        9 *    101196 *        26 *      6834 * 32.644455 * 957.55639 *      3480 * 1616046875.133850 *
*   599529 *       28 *    101196 *        27 *      7057 * 32.693042 * 986.83276 *      3478 * 1616047358.583682 *
*   599809 *        2 *    101197 *         2 *      9295 * 32.689300 * 1096.0843 *      3538 * 1616059623.935681 *
*   600002 *        2 *    101197 *        12 *      1001 * 32.470554 * 987.46179 *      3430 * 1616064251.136081 *
